Column1,Column12,Column13,Column2
231.5797,1,231.5797,-1523.609
231.6892,1,231.6892,-1523.866
231.7987,1,231.7987,-1524.146
231.9082,1,231.9082,-1524.437
232.0177,1,232.0177,-1524.662
232.1272,1,232.1272,-1524.871
232.2367,1,232.2367,-1525.083
232.3462,1,232.3462,-1525.23
232.4557,1,232.4557,-1525.346
232.5652,1,232.5652,-1525.409
232.6747,1,232.6747,-1525.465
232.7842,1,232.7842,-1525.466
232.8937,1,232.8937,-1525.47
233.0032,1,233.0032,-1525.417
233.1127,1,233.1127,-1525.344
233.2222,1,233.2222,-1525.253
233.3317,1,233.3317,-1525.124
233.4412,1,233.4412,-1524.975
233.5507,1,233.5507,-1524.829
233.6602,1,233.6602,-1524.653
233.7697,1,233.7697,-1524.471
233.8792,1,233.8792,-1524.259
233.9887,1,233.9887,-1524.041
234.0982,1,234.0982,-1523.826
234.2077,1,234.2077,-1523.509
234.3172,1,234.3172,-1523.14
234.4267,1,234.4267,-1522.806
234.5362,1,234.5362,-1522.451
234.6457,1,234.6457,-1522.09
234.7552,1,234.7552,-1521.749
234.8647,1,234.8647,-1521.393
234.9742,1,234.9742,-1521.032
235.0837,1,235.0837,-1520.61
235.1932,1,235.1932,-1520.217
235.3027,1,235.3027,-1519.812
235.4122,1,235.4122,-1519.345
235.5217,1,235.5217,-1518.879
235.6312,1,235.6312,-1518.449
235.7407,1,235.7407,-1518.043
235.8502,1,235.8502,-1517.613
235.9597,1,235.9597,-1517.179
236.0692,1,236.0692,-1516.738
236.1787,1,236.1787,-1516.309
236.2882,1,236.2882,-1515.869
236.3977,1,236.3977,-1515.456
236.5072,1,236.5072,-1515.044
236.6167,1,236.6167,-1514.599
236.7262,1,236.7262,-1514.212
236.8357,1,236.8357,-1513.865
236.9452,1,236.9452,-1513.497
237.0547,1,237.0547,-1513.13
237.1642,1,237.1642,-1512.755
237.2737,1,237.2737,-1512.327
237.3832,1,237.3832,-1511.897
237.4927,1,237.4927,-1511.458
237.6022,1,237.6022,-1510.983
237.7117,1,237.7117,-1510.473
237.8212,1,237.8212,-1509.977
237.9307,1,237.9307,-1509.48
238.0402,1,238.0402,-1509.004
238.1497,1,238.1497,-1508.583
238.2592,1,238.2592,-1508.213
238.3687,1,238.3687,-1507.904
238.4782,1,238.4782,-1507.577
238.5877,1,238.5877,-1507.301
238.6972,1,238.6972,-1507.023
238.8067,1,238.8067,-1506.763
238.9162,1,238.9162,-1506.546
239.0257,1,239.0257,-1506.301
239.1352,1,239.1352,-1506.057
239.2447,1,239.2447,-1505.802
239.3542,1,239.3542,-1505.562
239.4637,1,239.4637,-1505.364
239.5732,1,239.5732,-1505.133
239.6827,1,239.6827,-1504.881
239.7922,1,239.7922,-1504.655
239.9017,1,239.9017,-1504.415
240.0112,1,240.0112,-1504.126
240.1207,1,240.1207,-1503.791
240.2302,1,240.2302,-1503.397
240.3397,1,240.3397,-1502.938
240.4492,1,240.4492,-1502.528
240.5587,1,240.5587,-1502.04
240.6682,1,240.6682,-1501.57
240.7777,1,240.7777,-1501.108
240.8872,1,240.8872,-1500.648
240.9967,1,240.9967,-1500.173
241.1062,1,241.1062,-1499.711
241.2157,1,241.2157,-1499.217
241.3252,1,241.3252,-1498.699
241.4347,1,241.4347,-1498.116
241.5442,1,241.5442,-1497.504
241.6537,1,241.6537,-1496.878
241.7632,1,241.7632,-1496.216
241.8727,1,241.8727,-1495.59
241.9822,1,241.9822,-1494.975
242.0917,1,242.0917,-1494.395
242.2012,1,242.2012,-1493.849
242.3107,1,242.3107,-1493.245
242.4202,1,242.4202,-1492.645
242.5297,1,242.5297,-1491.964
242.6392,1,242.6392,-1491.302
242.7487,1,242.7487,-1490.738
242.8582,1,242.8582,-1490.183
242.9677,1,242.9677,-1489.602
243.0772,1,243.0772,-1488.972
243.1867,1,243.1867,-1488.249
243.2962,1,243.2962,-1487.473
243.4057,1,243.4057,-1486.726
243.5152,1,243.5152,-1485.972
243.6247,1,243.6247,-1485.171
243.7342,1,243.7342,-1484.384
243.8437,1,243.8437,-1483.644
243.9532,1,243.9532,-1482.89
244.0627,1,244.0627,-1482.089
244.1722,1,244.1722,-1481.287
244.2817,1,244.2817,-1480.427
244.3912,1,244.3912,-1479.563
244.5007,1,244.5007,-1478.698
244.6102,1,244.6102,-1477.731
244.7197,1,244.7197,-1476.802
244.8292,1,244.8292,-1475.774
244.9387,1,244.9387,-1474.747
245.0482,1,245.0482,-1473.703
245.1577,1,245.1577,-1472.671
245.2672,1,245.2672,-1471.642
245.3767,1,245.3767,-1470.608
245.4862,1,245.4862,-1469.616
245.5957,1,245.5957,-1468.705
245.7052,1,245.7052,-1467.851
245.8147,1,245.8147,-1467.008
245.9242,1,245.9242,-1466.17
246.0337,1,246.0337,-1465.378
246.1432,1,246.1432,-1464.633
246.2527,1,246.2527,-1463.834
246.3622,1,246.3622,-1463.027
246.4717,1,246.4717,-1462.202
246.5812,1,246.5812,-1461.4
246.6907,1,246.6907,-1460.604
246.8002,1,246.8002,-1459.852
246.9097,1,246.9097,-1459.184
247.0192,1,247.0192,-1458.531
247.1287,1,247.1287,-1457.855
247.2382,1,247.2382,-1457.146
247.3477,1,247.3477,-1456.464
247.4572,1,247.4572,-1455.754
247.5667,1,247.5667,-1455.045
247.6762,1,247.6762,-1454.392
247.7857,1,247.7857,-1453.751
247.8952,1,247.8952,-1453.103
248.0047,1,248.0047,-1452.39
248.1142,1,248.1142,-1451.662
248.2237,1,248.2237,-1450.943
248.3332,1,248.3332,-1450.242
248.4427,1,248.4427,-1449.586
248.5522,1,248.5522,-1449.016
248.6617,1,248.6617,-1448.457
248.7712,1,248.7712,-1447.904
248.8807,1,248.8807,-1447.357
248.9902,1,248.9902,-1446.847
249.0997,1,249.0997,-1446.398
249.2092,1,249.2092,-1445.985
249.3187,1,249.3187,-1445.567
249.4282,1,249.4282,-1445.204
249.5377,1,249.5377,-1444.954
249.6472,1,249.6472,-1444.764
249.7567,1,249.7567,-1444.596
249.8662,1,249.8662,-1444.47
249.9757,1,249.9757,-1444.406
250.0852,1,250.0852,-1444.363
250.1947,1,250.1947,-1444.327
250.3042,1,250.3042,-1444.315
250.4137,1,250.4137,-1444.368
250.5232,1,250.5232,-1444.346
250.6327,1,250.6327,-1444.264
250.7422,1,250.7422,-1444.144
250.8517,1,250.8517,-1444.03
250.9612,1,250.9612,-1443.875
251.0707,1,251.0707,-1443.647
251.1802,1,251.1802,-1443.381
251.2897,1,251.2897,-1443.139
251.3992,1,251.3992,-1442.899
251.5087,1,251.5087,-1442.63
251.6182,1,251.6182,-1442.324
251.7277,1,251.7277,-1441.984
251.8372,1,251.8372,-1441.608
251.9467,1,251.9467,-1441.202
252.0562,1,252.0562,-1440.84
252.1657,1,252.1657,-1440.457
252.2752,1,252.2752,-1440.104
252.3847,1,252.3847,-1439.796
252.4942,1,252.4942,-1439.434
252.6037,1,252.6037,-1439.06
252.7132,1,252.7132,-1438.723
252.8227,1,252.8227,-1438.356
252.9322,1,252.9322,-1437.966
253.0417,1,253.0417,-1437.532
253.1512,1,253.1512,-1437.143
253.2607,1,253.2607,-1436.728
253.3702,1,253.3702,-1436.295
253.4797,1,253.4797,-1435.835
253.5892,1,253.5892,-1435.349
253.6987,1,253.6987,-1434.88
253.8082,1,253.8082,-1434.372
253.9177,1,253.9177,-1433.847
254.0272,1,254.0272,-1433.293
254.1367,1,254.1367,-1432.771
254.2462,1,254.2462,-1432.272
254.3557,1,254.3557,-1431.696
254.4652,1,254.4652,-1431.029
254.5747,1,254.5747,-1430.355
254.6842,1,254.6842,-1429.711
254.7937,1,254.7937,-1429.033
254.9032,1,254.9032,-1428.402
255.0127,1,255.0127,-1427.703
255.1222,1,255.1222,-1427.083
255.2317,1,255.2317,-1426.406
255.3412,1,255.3412,-1425.72
255.4507,1,255.4507,-1425.094
255.5602,1,255.5602,-1424.431
255.6697,1,255.6697,-1423.726
255.7792,1,255.7792,-1423.027
255.8887,1,255.8887,-1422.32
255.9982,1,255.9982,-1421.638
256.1077,1,256.1077,-1421.001
256.2172,1,256.2172,-1420.312
256.3267,1,256.3267,-1419.589
256.4362,1,256.4362,-1418.928
256.5457,1,256.5457,-1418.226
256.6552,1,256.6552,-1417.575
256.7647,1,256.7647,-1416.976
256.8742,1,256.8742,-1416.306
256.9837,1,256.9837,-1415.592
257.0932,1,257.0932,-1414.897
257.2027,1,257.2027,-1414.252
257.3122,1,257.3122,-1413.626
257.4217,1,257.4217,-1412.977
257.5312,1,257.5312,-1412.311
257.6407,1,257.6407,-1411.594
257.7502,1,257.7502,-1410.875
257.8597,1,257.8597,-1410.14
257.9692,1,257.9692,-1409.416
258.0787,1,258.0787,-1408.695
258.1882,1,258.1882,-1407.945
258.2977,1,258.2977,-1407.146
258.4072,1,258.4072,-1406.39
258.5167,1,258.5167,-1405.68
258.6262,1,258.6262,-1404.94
258.7357,1,258.7357,-1404.178
258.8452,1,258.8452,-1403.362
258.9547,1,258.9547,-1402.519
259.0642,1,259.0642,-1401.735
259.1737,1,259.1737,-1400.988
259.2832,1,259.2832,-1400.245
259.3927,1,259.3927,-1399.568
259.5022,1,259.5022,-1398.895
259.6117,1,259.6117,-1398.214
259.7212,1,259.7212,-1397.524
259.8307,1,259.8307,-1396.827
259.9402,1,259.9402,-1396.03
260.0497,1,260.0497,-1395.239
260.1592,1,260.1592,-1394.553
260.2687,1,260.2687,-1393.939
260.3782,1,260.3782,-1393.417
260.4877,1,260.4877,-1392.905
260.5972,1,260.5972,-1392.367
260.7067,1,260.7067,-1391.819
260.8162,1,260.8162,-1391.303
260.9257,1,260.9257,-1390.802
